PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition_Primary at 6 uM
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,%Inhibition in the primary screen at 6 micromolar test compound concentration; relative to Rhok2 in the presence of 13 micromolar Y-27632.
RESULT_UNIT,,,,,,,NONE
12762,857846,659196,Inactive,3,,,5.6
12763,857847,659197,Inactive,0,,,-1.4
12764,857848,659198,Inactive,0,,,-3.5
12765,857849,659199,Inactive,0,,,-6.1
12766,857850,659200,Inactive,2,,,4.3
12767,857851,589480,Inactive,0,,,1.1
12768,857852,659201,Inactive,1,,,2.7
12769,857853,659202,Inactive,0,,,0.5
12770,857854,659203,Inactive,4,,,7.8
12771,857855,659204,Inactive,2,,,5
12772,857856,659205,Inactive,1,,,2.6
12773,857857,659206,Inactive,0,,,0.5
12774,857858,5389116,Inactive,3,,,5.2
12775,857860,659208,Inactive,1,,,2.8
12776,857861,624478,Inactive,0,,,-20.2
12777,857862,659209,Inactive,2,,,4.7
12778,857863,659210,Inactive,2,,,4.2
12779,857864,659211,Inactive,0,,,0.7
12780,857865,620319,Inactive,0,,,-11.6
12781,857866,659212,Inactive,0,,,0.1
12782,857867,603692,Inactive,0,,,1.2
12783,857868,659213,Inactive,4,,,7
12784,857869,659214,Inactive,0,,,0.9
12785,857870,659215,Inactive,1,,,3.3
12786,857871,659216,Inactive,0,,,0.5
12787,857872,659217,Inactive,1,,,3.1
12788,857873,659218,Inactive,1,,,2.6
12789,857874,659219,Inactive,1,,,2.9
12790,857875,659220,Inactive,5,,,8.8
12791,857876,659221,Inactive,0,,,0.6
12792,857877,659222,Inactive,0,,,0.4
12793,857878,659223,Inactive,0,,,1.1
12794,857879,659224,Inactive,0,,,-16.7
12795,857880,8588,Inactive,2,,,4.5
12796,857881,5389117,Inactive,5,,,9.1
12797,857883,659227,Inactive,3,,,6
12798,857884,659228,Inactive,4,,,8.2
12799,857885,659229,Inactive,3,,,6.7
12800,857886,659230,Inactive,5,,,9.3
12801,857887,659231,Inactive,0,,,-13.9
12802,857888,659232,Inactive,0,,,-0.6
12803,857889,659233,Inactive,1,,,2.8
12804,857890,659234,Inactive,5,,,8.9
12805,857891,659235,Inactive,2,,,4.6
12806,857892,659236,Inactive,1,,,2.9
12807,857893,659237,Inactive,0,,,-1.4
12808,857894,659238,Inactive,0,,,-0.2
12809,857895,659239,Inactive,1,,,2.6
12810,857896,659240,Inactive,3,,,6.4
12811,857897,659241,Inactive,4,,,7.1
12812,857898,659242,Inactive,7,,,12.5
12813,857899,4740,Inactive,1,,,2.7
12814,857900,6603488,Inactive,0,,,-6.1
12815,857901,6602755,Inactive,0,,,-13.4
12816,857902,6603435,Inactive,0,,,-3
12817,857903,6602820,Inactive,5,,,9.1
12818,857904,6463323,Inactive,0,,,-2.3
12819,857905,6603059,Inactive,7,,,12.7
12820,857906,6462668,Inactive,5,,,8.6
12821,857907,6603218,Inactive,0,,,-1.6
12822,857908,6603616,Inactive,3,,,6.2
12823,857909,6603031,Inactive,0,,,-2.6
12824,857910,6603016,Inactive,2,,,4.3
12825,857911,2832735,Inactive,1,,,3.3
12826,857912,38115,Inactive,0,,,0.6
12827,857913,2795203,Inactive,0,,,1.4
12828,857914,659268,Inactive,0,,,-0.1
12829,857915,5389120,Inactive,2,,,4
12830,857916,659270,Inactive,7,,,13.5
12831,857917,659271,Inactive,2,,,5
12832,857918,659272,Inactive,1,,,1.9
12833,857919,659273,Inactive,0,,,-4
12834,857920,659274,Inactive,0,,,-0.1
12835,857921,8743,Inactive,0,,,-1.5
12836,857922,659275,Inactive,4,,,7.1
12837,857923,659276,Inactive,0,,,0.6
12838,857924,44827,Inactive,3,,,5.9
12839,857925,659277,Inactive,4,,,7
12840,857926,659278,Inactive,1,,,3.2
12841,857927,659279,Inactive,4,,,8.4
12842,857928,659280,Inactive,0,,,-13.3
12843,857930,659282,Inactive,0,,,1
12844,857931,659283,Inactive,2,,,3.9
12845,857932,659284,Inactive,0,,,-7.6
12846,857933,659285,Inactive,0,,,0.8
12847,857934,600284,Inactive,0,,,-0.1
12848,857935,659286,Inactive,1,,,1.7
12849,857936,659287,Inactive,8,,,14.3
12850,857937,5389121,Inactive,0,,,-0.1
12851,857938,659289,Inactive,3,,,6.3
12852,857939,659290,Inactive,3,,,6.7
12853,857940,659291,Inactive,0,,,-9.1
12854,857941,659292,Inactive,2,,,4.3
12855,857942,659293,Inactive,0,,,1.5
12856,857943,659294,Inactive,2,,,4.8
12857,857944,659295,Inactive,1,,,2.9
12858,857945,659296,Inactive,0,,,-6.6
12859,857946,659297,Inactive,0,,,-0.5
12860,857947,606012,Inactive,0,,,-9.6
12861,857948,659298,Inactive,0,,,-1.8
12862,857949,659299,Inactive,6,,,11.8
12863,857950,659300,Inactive,0,,,-8.1
12864,857951,659301,Inactive,1,,,2.5
12865,857952,659302,Inactive,4,,,7.1
12866,857953,659303,Inactive,0,,,-1.8
12867,857954,659304,Inactive,0,,,0.5
12868,857955,659305,Inactive,0,,,0
12869,857956,5389122,Inactive,0,,,-13.1
12870,857957,659306,Inactive,6,,,10.7
12871,857958,659307,Inactive,0,,,0.5
12872,857959,659308,Inactive,1,,,3.3
12873,857960,659309,Inactive,0,,,-9
